tconst,originalTitle,startYear,runtimeMinutes,Genre,Director,Writer,Actor
tt1385826,The Adjustment Bureau,2011,106,Thriller,George Nolfi,George Nolfi,Matt Damon
tt1385826,The Adjustment Bureau,2011,106,Romance,George Nolfi,Philip K. Dick,Matt Damon
tt1385826,The Adjustment Bureau,2011,106,Sci-Fi,George Nolfi,Philip K. Dick,Matt Damon
tt1385826,The Adjustment Bureau,2011,106,Thriller,George Nolfi,Philip K. Dick,Matt Damon
tt1212419,Hereafter,2010,129,Drama,Clint Eastwood,Peter Morgan,Matt Damon
tt1212419,Hereafter,2010,129,Fantasy,Clint Eastwood,Peter Morgan,Matt Damon
tt1212419,Hereafter,2010,129,Romance,Clint Eastwood,Peter Morgan,Matt Damon
tt2241351,Money Monster,2016,98,Crime,Jodie Foster,Jim Kouf,George Clooney
tt2241351,Money Monster,2016,98,Drama,Jodie Foster,Jim Kouf,George Clooney
tt2241351,Money Monster,2016,98,Mystery,Jodie Foster,Jim Kouf,George Clooney
tt2241351,Money Monster,2016,98,Crime,Jodie Foster,Jamie Linden,George Clooney
tt2241351,Money Monster,2016,98,Drama,Jodie Foster,Jamie Linden,George Clooney
tt2241351,Money Monster,2016,98,Mystery,Jodie Foster,Jamie Linden,George Clooney
tt2241351,Money Monster,2016,98,Crime,Jodie Foster,Alan DiFiore,George Clooney
tt2241351,Money Monster,2016,98,Drama,Jodie Foster,Alan DiFiore,George Clooney
tt2241351,Money Monster,2016,98,Mystery,Jodie Foster,Alan DiFiore,George Clooney
tt0120815,Saving Private Ryan,1998,169,Drama,Steven Spielberg,Robert Rodat,Matt Damon
tt0120815,Saving Private Ryan,1998,169,War,Steven Spielberg,Robert Rodat,Matt Damon
tt0138524,Intolerable Cruelty,2003,100,Comedy,Ethan Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Ethan Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Ethan Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Joel Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Joel Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Joel Coen,Ethan Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Ethan Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Ethan Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Ethan Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Joel Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Joel Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Joel Coen,Joel Coen,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Ethan Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Ethan Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Ethan Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Joel Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Joel Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Joel Coen,Robert Ramsey,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Ethan Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Ethan Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Ethan Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Joel Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Joel Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Joel Coen,Matthew Stone,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Ethan Coen,John Romano,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Ethan Coen,John Romano,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Ethan Coen,John Romano,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Comedy,Joel Coen,John Romano,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Crime,Joel Coen,John Romano,George Clooney
tt0138524,Intolerable Cruelty,2003,100,Romance,Joel Coen,John Romano,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Comedy,Ethan Coen,Ethan Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Drama,Ethan Coen,Ethan Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Music,Ethan Coen,Ethan Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Comedy,Joel Coen,Ethan Coen,George Clooney
tt0475290,"Hail, Caesar!",2016,106,Drama,Joel Coen,Ethan Coen,George Clooney
